time,demand
1,2.038
2,3.096
3,4.003
4,3.439
5,0.891
6,0.915
7,0.858
8,0.925
9,0.858
10,0.893
11,1.819
12,2.099
13,2.231
14,2.475
15,2.064
16,2.075
17,2.524
18,1.898
19,1.970
20,1.749
21,1.739
22,2.405
23,2.422
24,2.656
25,2.430
26,3.513
27,4.580
28,3.220
29,1.272
30,1.077
31,1.278
32,1.283
33,1.265
34,1.165
35,1.301
36,1.344
37,1.995
38,2.226
39,2.910
40,3.712
41,3.362
42,2.849
43,2.688
44,2.426
45,1.668
46,1.700
47,2.144
48,2.283
49,2.091
50,3.399
51,4.650
52,1.928
53,0.993
54,0.949
55,1.025
56,0.927
57,1.022
58,1.144
59,1.647
60,1.748
61,1.961
62,2.253
63,2.098
64,1.464
65,1.563
66,1.446
67,1.496
68,1.499
69,1.588
70,1.521
71,1.465
72,1.484
73,2.111
74,3.716
75,4.699
76,4.272
77,1.229
78,0.881
79,0.982
80,0.906
81,0.978
82,0.938
83,1.514
84,1.777
85,2.547
86,1.767
87,1.591
88,1.616
89,1.577
90,1.577
91,1.796
92,1.373
93,2.105
94,1.737
95,1.093
96,1.160
97,1.503
98,2.289
99,1.446
100,0.898
101,0.936
102,0.892
103,0.775
104,0.819
105,0.858
106,1.481
107,1.591
108,1.487
109,1.437
110,1.386
111,1.806
112,1.455
113,1.903
114,2.481
115,1.836
116,3.271
117,3.454
118,2.629
119,2.305
120,2.617
121,2.204
122,3.058
123,1.945
124,1.007
125,0.937
126,0.797
127,0.924
128,0.744
129,0.829
130,1.387
131,1.457
132,1.591
133,1.366
134,1.861
135,1.291
136,0.681
137,0.758
138,0.665
139,1.352
140,1.030
141,2.251
142,1.869
143,1.950
144,2.341
145,2.359
146,2.900
147,3.866
148,1.186
149,0.787
150,0.876
151,0.727
152,0.647
153,0.713
154,0.739
155,1.153
156,0.939
157,0.695
158,1.053
159,1.062
160,1.140
161,1.121
162,1.246
163,1.327
164,1.088
165,1.992
166,1.753
167,2.595
168,2.616
169,1.662
170,2.635
171,1.305
172,0.823
173,0.860
174,0.737
175,0.867
176,0.795
177,1.168
178,1.109
179,0.909
180,1.032
181,1.436
182,1.182
183,1.224
184,1.494
185,1.711
186,1.814
187,1.819
188,1.499
189,1.512
190,1.395
191,1.802
192,1.986
193,1.893
194,2.957
195,3.593
196,0.735
197,0.665
198,0.621
199,0.714
200,0.607
201,0.670
202,1.746
203,1.995
204,1.975
205,2.067
206,2.800
207,2.426
208,1.378
209,1.496
210,1.447
211,1.502
212,1.696
213,1.806
214,1.924
215,1.669
216,1.868
217,1.813
218,2.645
219,1.823
220,0.744
221,0.625
222,0.730
223,0.818
224,0.720
225,0.718
226,1.029
227,1.183
228,1.178
229,1.415
230,1.616
231,2.038
232,2.423
233,2.442
234,2.410
235,2.398
236,2.221
237,2.665
238,2.316
239,3.211
240,2.053
241,1.688
242,2.926
243,3.970
244,3.220
245,0.694
246,0.718
247,0.602
248,0.723
249,0.645
250,0.734
251,1.101
252,1.233
253,1.360
254,1.108
255,1.124
256,1.944
257,1.480
258,1.765
259,2.730
260,2.019
261,3.675
262,2.672
263,2.170
264,1.357
265,1.360
266,2.093
267,2.767
268,0.792
269,0.795
270,0.730
271,0.768
272,0.721
273,0.585
274,1.057
275,1.258
276,1.053
277,0.682
278,1.137
279,1.691
280,1.869
281,1.819
282,1.794
283,1.759
284,1.939
285,1.799
