house_Id,day,error
1,92,0.0
1,93,0.0
1,94,0.0
14,95,0.0
1,96,0.0
15,97,0.097
1,98,0.0
1,99,0.0
5,100,0.0
5,101,0.0
1,102,0.0
11,103,0.0
1,104,0.0
1,105,0.0
