time,demand,supply
1,0.920,-0.011
2,0.943,-0.011
3,0.867,-0.011
4,1.022,-0.011
5,0.934,-0.011
6,1.056,-0.011
7,1.167,-0.011
8,1.188,-0.011
9,1.255,-0.011
10,1.139,0.159
11,1.217,0.406
12,1.205,0.305
13,0.855,0.821
14,0.787,0.895
15,0.802,0.600
16,0.812,0.350
17,0.966,0.224
18,0.964,0.086
19,0.930,-0.007
20,1.122,-0.011
21,1.016,-0.011
22,1.065,-0.011
23,0.815,-0.011
24,0.778,-0.012
25,0.757,-0.011
26,0.668,-0.011
27,0.659,-0.011
28,0.842,-0.011
29,0.830,-0.011
30,0.961,-0.011
31,1.320,-0.011
32,1.595,-0.011
33,1.462,-0.011
34,1.256,0.012
35,1.056,0.115
36,0.924,0.221
37,0.877,0.306
38,0.911,0.394
39,1.101,1.260
40,1.073,1.668
41,0.937,1.855
42,0.966,1.737
43,0.917,0.423
44,0.961,-0.011
45,0.827,-0.011
46,1.030,-0.011
47,1.000,-0.011
48,1.028,-0.011
49,1.028,-0.011
50,0.842,-0.011
51,0.735,-0.011
52,0.887,-0.011
53,0.891,-0.011
54,1.197,-0.011
55,1.489,-0.011
56,1.178,-0.011
57,1.180,-0.011
58,1.074,0.063
59,0.854,0.642
60,0.808,0.536
61,0.784,0.787
62,0.779,0.795
63,0.874,0.449
64,0.980,0.374
65,0.794,0.201
66,0.840,0.036
67,0.931,-0.008
68,1.058,-0.011
69,1.034,-0.011
70,1.017,-0.011
71,0.958,-0.011
72,0.783,-0.011
73,0.639,-0.012
74,0.628,-0.011
75,0.666,-0.011
76,0.848,-0.011
77,0.748,-0.011
78,0.945,-0.011
79,1.045,-0.011
80,0.943,-0.011
81,1.333,-0.011
82,1.126,0.015
83,1.159,0.009
84,1.209,0.069
85,1.339,0.141
86,1.445,0.177
87,1.235,0.367
88,1.089,0.469
89,1.256,0.562
90,1.172,0.199
91,1.071,0.069
92,1.117,-0.011
93,1.004,-0.011
94,1.071,-0.011
95,1.103,-0.011
96,0.658,-0.011
97,0.627,-0.012
98,0.584,-0.011
99,0.621,-0.011
100,0.798,-0.011
101,0.755,-0.011
102,0.929,-0.011
103,1.203,-0.011
104,1.072,-0.011
105,1.181,-0.011
106,0.971,-0.012
107,1.070,0.146
108,1.090,0.378
109,1.043,0.755
110,0.724,1.155
111,0.684,0.985
112,0.739,0.953
113,1.297,0.625
114,0.876,0.219
115,0.939,0.022
116,1.081,-0.011
117,0.946,-0.011
118,0.978,-0.011
119,0.964,-0.011
120,0.662,-0.011
121,0.550,-0.011
122,0.646,-0.011
123,0.544,-0.012
124,0.662,-0.011
125,0.586,-0.011
126,0.787,-0.011
127,1.123,-0.011
128,0.975,-0.011
129,1.048,-0.011
130,0.770,0.148
131,0.797,1.408
132,0.733,2.060
133,1.258,2.215
134,0.872,2.673
135,0.629,2.905
136,0.649,2.134
137,0.788,1.427
138,0.867,0.518
139,0.914,0.267
140,0.982,-0.011
141,0.880,-0.011
142,0.957,-0.011
143,0.875,-0.011
144,0.614,-0.011
145,0.558,-0.012
146,0.597,-0.012
147,0.565,-0.011
148,0.611,-0.011
149,0.640,-0.011
150,0.848,-0.011
151,1.140,-0.011
152,1.036,-0.011
153,1.019,-0.011
154,1.260,-0.011
155,0.844,0.078
156,0.835,0.268
157,0.782,0.433
158,0.821,0.731
159,0.784,0.987
160,0.845,0.925
161,0.825,1.840
162,0.882,1.541
163,1.616,0.135
164,1.626,-0.011
165,1.440,-0.011
166,0.990,-0.011
167,0.882,-0.011
168,0.599,-0.011
169,0.677,-0.011
170,0.648,-0.011
171,0.626,-0.011
172,0.706,-0.011
173,0.771,-0.011
174,0.882,-0.011
175,1.035,-0.011
176,1.097,-0.011
177,0.966,-0.011
178,0.897,0.188
179,0.960,1.320
180,0.670,1.863
181,0.937,2.319
182,0.667,2.717
183,0.575,2.874
184,0.607,2.714
185,0.648,2.372
186,0.770,1.824
187,1.062,0.535
188,0.906,-0.011
189,0.939,-0.011
190,1.056,-0.011
191,0.922,-0.011
192,0.694,-0.011
193,0.889,-0.011
194,0.732,-0.011
195,0.550,-0.011
196,0.717,-0.011
197,0.683,-0.011
198,0.915,-0.011
199,1.173,-0.011
200,1.071,-0.011
201,1.029,-0.011
202,0.800,0.214
203,0.708,0.736
204,0.955,0.574
205,1.092,0.689
206,0.874,0.915
207,0.837,1.582
208,0.781,1.655
209,0.953,1.528
210,0.906,0.280
211,1.080,0.011
212,1.141,-0.011
213,1.219,-0.011
214,1.218,-0.011
215,1.138,-0.011
216,0.811,-0.011
217,0.594,-0.011
218,0.622,-0.011
219,0.569,-0.011
220,0.732,-0.011
221,0.732,-0.011
222,0.901,-0.011
223,1.121,-0.011
224,1.131,-0.011
225,1.339,-0.011
226,1.006,0.187
227,0.975,0.378
228,1.163,1.796
229,1.120,2.137
230,1.206,2.422
231,0.958,2.776
232,0.579,2.545
233,0.549,2.264
234,0.726,1.709
235,0.761,0.584
236,0.946,-0.011
237,1.118,-0.011
238,1.169,-0.011
239,1.184,-0.011
240,0.797,-0.011
241,0.653,-0.012
242,0.615,-0.011
243,0.616,-0.011
244,0.716,-0.011
245,0.634,-0.011
246,0.822,-0.011
247,0.952,-0.011
248,0.866,-0.011
249,1.052,-0.011
250,1.028,0.095
251,1.180,0.088
252,1.461,0.169
253,1.513,0.320
254,1.095,1.059
255,0.976,1.872
256,0.940,0.890
257,0.992,0.151
258,1.523,0.057
259,1.719,-0.005
260,1.134,-0.012
261,1.441,-0.011
262,1.288,-0.011
263,1.021,-0.011
264,0.731,-0.011
265,0.625,-0.011
266,0.616,-0.011
267,0.562,-0.011
268,0.670,-0.011
269,0.653,-0.011
270,0.859,-0.011
271,1.089,-0.011
272,1.014,-0.011
273,1.157,-0.011
274,0.966,-0.012
275,0.958,0.135
276,1.427,0.389
277,1.200,0.495
278,0.854,0.552
279,0.814,0.611
280,0.870,0.428
281,0.940,0.312
282,0.930,0.124
283,1.184,-0.006
284,1.255,-0.011
285,1.474,-0.011
286,1.142,-0.011
287,1.034,-0.011
288,0.753,-0.011
289,0.608,-0.011
290,0.613,-0.011
291,0.546,-0.011
292,0.718,-0.011
293,0.680,-0.011
294,1.310,-0.011
295,0.959,-0.011
296,0.938,-0.011
297,0.975,-0.011
298,1.056,-0.012
299,0.750,0.079
300,0.878,0.505
301,0.867,1.022
302,1.007,1.383
303,0.837,1.653
304,0.718,1.275
305,0.828,0.920
306,0.836,0.132
307,1.170,-0.011
308,1.719,-0.011
309,1.018,-0.011
310,1.195,-0.011
311,1.472,-0.011
312,0.697,-0.011
313,0.570,-0.011
314,0.604,-0.011
315,0.615,-0.011
316,0.650,-0.011
317,0.647,-0.011
318,1.185,-0.011
319,1.030,-0.011
320,0.977,-0.011
321,1.037,-0.011
322,0.787,0.126
323,0.768,1.025
324,0.849,1.862
325,0.837,2.287
326,0.727,2.793
327,0.678,2.909
328,0.590,2.731
329,0.730,2.198
