time,demand,supply
1,0.731,-0.006
2,1.067,-0.006
3,1.091,-0.006
4,1.017,-0.006
5,0.686,-0.006
6,1.128,-0.006
7,1.159,-0.006
8,0.590,-0.006
9,1.506,-0.006
10,1.802,0.616
11,0.722,1.018
12,0.910,0.538
13,1.237,0.755
14,1.170,0.319
15,0.648,0.037
16,1.377,0.028
17,4.539,0.009
18,2.011,0.002
19,2.798,-0.007
20,3.553,-0.005
21,1.368,-0.005
22,1.629,-0.006
23,1.277,-0.006
24,0.620,-0.006
25,0.899,-0.006
26,1.000,-0.006
27,0.850,-0.006
28,0.798,-0.006
29,0.651,-0.006
30,1.228,-0.006
31,1.165,-0.006
32,1.011,-0.006
33,0.850,-0.006
34,0.758,0.002
35,0.911,0.100
36,2.093,0.232
37,0.814,1.553
38,2.916,3.000
39,0.926,3.103
40,1.098,2.794
41,0.789,2.247
42,0.639,1.416
43,0.587,0.258
44,0.735,-0.006
45,1.051,-0.006
46,0.843,-0.006
47,0.933,-0.006
48,0.934,-0.006
49,0.955,-0.006
50,0.930,-0.006
51,0.588,-0.006
52,0.683,-0.006
53,1.036,-0.006
54,0.926,-0.006
55,0.731,-0.006
56,0.910,-0.006
57,1.107,-0.006
58,1.056,0.320
59,0.993,1.731
60,0.442,2.304
61,0.855,0.763
62,0.455,1.696
63,0.895,1.894
64,0.931,1.195
65,1.373,0.894
66,0.872,0.833
67,0.714,0.145
68,1.926,-0.005
69,2.854,-0.005
70,1.379,-0.006
71,1.002,-0.006
72,0.470,-0.006
73,0.986,-0.006
74,0.929,-0.006
75,0.846,-0.006
76,0.792,-0.006
77,0.451,-0.006
78,1.173,-0.006
79,1.066,-0.006
80,0.735,-0.006
81,1.076,-0.006
82,1.023,0.078
83,0.826,1.527
84,0.579,3.112
85,0.689,4.154
86,0.956,2.043
87,1.324,3.057
88,0.852,3.325
89,0.884,2.379
90,0.650,1.496
91,0.842,0.509
92,1.624,-0.005
93,1.153,-0.005
94,0.815,-0.006
95,0.864,-0.006
96,0.609,-0.006
97,1.029,-0.006
98,1.066,-0.006
99,0.978,-0.006
100,0.562,-0.006
101,0.392,-0.006
102,0.942,-0.006
103,1.174,-0.006
104,1.092,-0.006
105,0.677,-0.006
106,0.783,0.027
107,0.832,0.259
108,0.799,0.956
109,0.425,1.059
110,0.756,1.366
111,0.707,1.384
112,0.450,1.494
113,0.752,0.921
114,0.577,0.402
115,2.230,0.040
116,1.543,-0.006
117,1.064,-0.006
118,0.595,-0.006
119,0.720,-0.006
120,0.638,-0.006
121,0.644,-0.006
122,0.625,-0.006
123,0.794,-0.006
124,0.697,-0.006
125,0.790,-0.006
126,0.601,-0.006
127,0.522,-0.006
128,0.713,-0.006
129,1.031,-0.006
130,1.054,0.780
131,1.143,2.836
132,2.272,3.912
133,2.124,4.305
134,0.854,4.251
135,0.743,3.854
136,0.691,3.130
137,0.762,2.291
138,0.630,1.174
139,0.727,0.324
140,1.064,-0.006
141,0.937,-0.006
142,0.796,-0.006
143,0.722,-0.006
144,0.621,-0.006
145,0.671,-0.006
146,0.649,-0.006
147,0.677,-0.006
148,0.585,-0.006
149,0.686,-0.006
150,0.686,-0.006
151,0.823,-0.006
152,0.790,-0.006
153,0.757,-0.006
154,0.624,-0.005
155,1.153,0.131
156,0.817,0.346
157,0.586,0.476
158,0.905,0.775
159,0.938,1.007
160,0.872,0.956
161,0.502,0.825
162,0.842,0.348
163,1.109,0.027
164,1.486,-0.006
165,0.788,-0.006
166,0.741,-0.006
167,1.420,-0.006
168,1.036,-0.006
169,0.748,-0.006
170,0.800,-0.006
171,0.820,-0.006
172,1.088,-0.006
173,0.768,-0.006
174,0.412,-0.006
175,0.856,-0.006
176,0.963,-0.006
177,1.250,-0.006
178,0.876,0.299
179,0.475,0.634
180,0.375,4.024
181,0.793,4.366
182,0.655,4.491
183,0.764,4.011
184,1.418,3.214
185,1.001,2.288
186,0.754,1.492
187,0.672,0.351
188,1.823,-0.006
189,1.052,-0.006
190,0.738,-0.006
191,0.809,-0.006
192,0.732,-0.006
193,0.804,-0.006
194,0.859,-0.006
195,0.857,-0.006
196,0.763,-0.006
197,0.422,-0.006
198,0.420,-0.006
199,1.166,-0.006
200,1.076,-0.006
201,0.888,-0.006
202,0.572,0.004
203,1.262,0.193
204,1.061,0.516
205,0.597,0.529
206,0.727,0.624
207,1.147,0.504
208,0.945,0.355
209,0.629,0.238
210,0.780,0.048
211,1.249,-0.008
212,1.273,-0.006
213,1.785,-0.006
214,1.643,-0.006
215,1.109,-0.006
216,1.140,-0.006
217,1.055,-0.006
218,0.952,-0.006
219,0.811,-0.006
220,1.117,-0.006
221,1.014,-0.006
222,0.996,-0.006
223,0.764,-0.006
224,0.976,-0.006
225,1.006,-0.006
226,0.854,0.349
227,0.701,0.902
228,0.789,4.304
229,0.472,4.532
230,0.946,4.569
231,0.635,4.221
232,0.700,3.309
233,0.589,2.359
234,0.570,1.524
235,0.652,0.389
