time,demand,supply
1,1.144,-0.007
2,0.828,-0.006
3,0.733,-0.006
4,0.819,-0.006
5,0.816,-0.006
6,0.839,-0.006
7,0.782,-0.006
8,0.808,-0.006
9,0.747,-0.006
10,1.409,0.074
11,1.565,0.450
12,1.156,0.495
13,0.905,1.297
14,3.229,1.432
15,4.089,1.082
16,1.635,0.662
17,1.308,0.422
18,2.653,0.181
19,3.972,0.012
20,4.621,-0.005
21,2.969,-0.006
22,2.668,-0.006
23,3.480,-0.008
24,1.429,-0.006
25,0.806,-0.006
26,0.793,-0.006
27,0.707,-0.006
28,0.843,-0.006
29,0.844,-0.006
30,0.786,-0.006
31,0.827,-0.006
32,0.830,-0.006
33,0.974,-0.007
34,1.264,-0.000
35,1.339,0.139
36,1.036,0.238
37,1.573,0.328
38,0.833,0.458
39,0.605,0.920
40,0.685,0.669
41,0.691,0.460
42,0.613,0.904
43,0.693,0.437
44,1.390,-0.006
45,2.533,-0.007
46,2.246,-0.007
47,2.052,-0.007
48,2.356,-0.006
49,1.666,-0.006
50,0.711,-0.006
51,0.778,-0.006
52,0.706,-0.006
53,0.805,-0.006
54,0.747,-0.006
55,0.737,-0.006
56,0.678,-0.006
57,0.813,-0.006
58,1.086,0.039
59,1.270,0.673
60,1.004,0.570
61,0.923,0.829
62,1.055,0.836
63,1.288,0.457
64,1.032,0.513
65,0.662,0.449
66,0.766,0.131
67,0.981,0.009
68,1.458,-0.007
69,1.312,-0.006
70,1.264,-0.006
71,1.233,-0.006
72,1.184,-0.007
73,1.371,-0.006
74,1.112,-0.007
75,0.828,-0.006
76,0.798,-0.006
77,0.828,-0.006
78,0.782,-0.006
79,0.841,-0.006
80,0.863,-0.007
81,0.756,-0.006
82,1.107,0.024
83,1.219,0.060
84,1.355,0.141
85,0.964,0.222
86,0.789,0.285
87,1.119,0.527
88,1.154,0.758
89,1.112,1.828
90,0.853,0.567
91,1.116,0.169
92,1.484,-0.006
93,1.494,-0.006
94,1.341,-0.006
95,1.327,-0.006
96,0.900,-0.007
97,0.829,-0.006
98,0.673,-0.006
99,0.757,-0.006
100,0.745,-0.006
101,0.823,-0.006
102,0.828,-0.006
103,0.782,-0.006
104,0.828,-0.006
105,0.752,-0.006
106,1.145,0.006
107,1.274,0.315
108,1.345,0.702
109,1.047,1.049
110,1.200,1.236
111,1.073,1.045
112,0.734,0.996
113,1.078,0.646
114,2.709,0.236
115,1.327,0.056
116,1.616,-0.006
117,2.226,-0.007
118,2.078,-0.007
119,1.839,-0.007
120,0.950,-0.007
121,0.636,-0.006
122,0.593,-0.006
123,0.640,-0.006
124,0.705,-0.006
125,0.645,-0.006
126,0.744,-0.006
127,0.681,-0.006
128,0.734,-0.006
129,1.080,-0.006
130,1.260,0.104
131,1.318,1.301
132,1.141,1.768
133,0.824,1.859
134,0.678,2.210
135,0.617,2.325
136,0.582,1.706
137,0.796,1.231
138,0.986,0.493
139,1.165,0.296
140,1.333,-0.006
141,1.932,-0.007
142,2.206,-0.007
143,2.132,-0.007
144,1.692,-0.007
145,0.707,-0.006
146,0.631,-0.006
147,0.678,-0.006
148,0.711,-0.006
149,0.668,-0.006
150,0.704,-0.006
151,0.679,-0.006
152,0.811,-0.006
153,0.728,-0.006
154,1.300,-0.007
155,1.352,0.094
156,1.147,0.275
157,0.879,0.436
158,0.762,0.719
159,0.748,0.925
160,0.936,0.851
161,0.945,1.317
162,1.002,1.180
163,0.867,0.163
164,1.119,-0.006
165,1.885,-0.007
166,1.804,-0.007
167,1.960,-0.008
168,1.916,-0.008
169,1.404,-0.007
170,0.706,-0.006
171,0.634,-0.006
172,0.682,-0.006
173,0.622,-0.006
174,0.793,-0.006
175,0.713,-0.006
176,0.733,-0.006
177,0.942,-0.007
178,1.197,0.170
179,1.380,1.239
180,1.144,1.588
181,1.653,1.855
182,1.479,2.147
183,1.418,2.184
184,3.603,1.897
185,3.090,1.627
186,1.556,1.383
187,1.438,0.530
188,3.019,-0.006
189,2.778,-0.007
190,1.509,-0.006
191,1.334,-0.006
192,0.981,-0.006
193,0.850,-0.006
194,0.841,-0.006
195,0.814,-0.006
196,0.767,-0.006
197,0.813,-0.006
198,0.875,-0.006
199,0.900,-0.006
200,1.419,-0.006
201,1.430,-0.005
202,1.392,0.140
203,1.097,0.761
204,0.880,0.618
205,0.973,0.738
206,0.912,0.948
207,0.838,1.515
208,0.763,1.423
209,0.680,1.229
210,0.743,0.294
211,0.802,0.024
212,0.769,-0.007
213,0.828,-0.007
214,0.837,-0.007
215,0.848,-0.007
216,0.838,-0.007
217,0.695,-0.006
218,0.786,-0.006
219,0.661,-0.006
220,0.737,-0.006
221,0.733,-0.006
222,0.718,-0.006
223,0.745,-0.006
224,0.690,-0.006
225,0.726,-0.006
226,1.055,0.081
227,1.050,0.377
228,1.236,1.642
229,1.514,1.935
230,0.762,2.089
231,0.646,2.237
232,1.085,1.883
233,1.140,1.611
234,1.096,1.312
235,1.072,0.560
236,1.339,-0.006
237,1.511,-0.007
238,1.513,-0.007
239,1.028,-0.006
240,1.007,-0.006
241,0.655,-0.006
242,0.661,-0.006
243,0.725,-0.006
244,0.678,-0.006
245,0.663,-0.006
246,0.750,-0.006
247,0.763,-0.006
248,0.653,-0.006
249,0.739,-0.006
250,0.982,0.066
251,1.327,0.109
252,1.112,0.185
253,0.920,0.337
254,0.715,1.050
255,0.651,1.724
256,0.722,0.878
257,1.057,0.167
258,1.331,0.073
259,1.054,0.006
260,1.626,-0.006
261,2.891,-0.007
262,2.038,-0.008
263,1.622,-0.007
264,0.618,-0.006
265,0.721,-0.006
266,0.723,-0.007
267,0.747,-0.006
268,0.680,-0.006
269,0.791,-0.006
270,0.721,-0.006
271,0.723,-0.006
272,0.793,-0.006
273,0.763,-0.006
274,1.295,-0.007
275,1.500,0.163
276,1.345,0.416
277,2.339,0.516
278,1.689,0.580
279,2.127,0.637
280,3.125,0.450
281,2.233,0.331
282,1.365,0.142
283,1.574,0.008
284,4.048,-0.007
285,3.629,-0.006
286,2.068,-0.007
287,1.894,-0.007
288,0.767,-0.007
289,0.794,-0.006
290,0.793,-0.006
291,0.728,-0.006
292,0.730,-0.006
293,0.773,-0.006
294,0.756,-0.006
295,0.733,-0.006
296,0.810,-0.006
297,1.045,-0.006
298,1.303,-0.007
299,1.485,0.101
300,1.105,0.513
301,1.164,1.026
302,1.117,1.298
303,0.940,1.456
304,1.050,1.243
305,1.256,0.908
306,1.181,0.150
307,1.541,-0.006
308,2.090,-0.007
309,1.669,-0.007
310,1.398,-0.006
311,0.926,-0.006
312,0.810,-0.007
313,0.744,-0.006
314,0.779,-0.007
315,0.709,-0.006
316,0.766,-0.006
317,0.701,-0.006
318,0.776,-0.006
319,0.684,-0.006
320,1.026,-0.007
321,0.966,-0.007
322,1.067,0.064
323,1.136,1.055
324,0.886,1.612
325,0.682,1.837
326,0.812,2.229
327,1.066,2.288
328,1.256,1.998
329,1.208,1.692
330,0.870,1.211
331,1.848,0.548
332,2.772,-0.007
333,3.214,-0.008
334,2.105,-0.007
335,2.034,-0.007
336,0.831,-0.006
337,0.838,-0.007
338,0.789,-0.006
339,0.835,-0.006
340,0.734,-0.006
341,0.827,-0.006
342,0.693,-0.006
343,0.836,-0.006
344,0.753,-0.006
345,0.776,-0.006
346,1.509,0.215
347,1.302,1.372
348,1.791,1.710
349,2.197,1.944
350,1.917,2.248
351,2.692,2.299
352,4.296,2.007
353,2.686,1.678
354,0.727,1.466
355,1.472,0.718
356,2.882,-0.006
357,2.017,-0.006
358,1.866,-0.006
359,2.003,-0.007
360,1.680,-0.006
361,1.648,-0.008
362,0.928,-0.007
363,0.693,-0.006
364,0.733,-0.006
365,0.757,-0.006
366,0.645,-0.006
367,0.745,-0.006
368,0.971,-0.007
369,1.114,-0.007
370,1.161,0.010
371,1.092,0.077
372,0.954,0.177
373,0.781,0.364
374,0.725,0.537
375,0.724,1.242
376,0.639,1.787
377,0.807,1.099
378,0.686,0.760
379,0.737,0.124
380,0.785,-0.007
381,1.469,-0.007
382,1.923,-0.007
