time,demand,supply
1,3.628,-0.016
2,3.850,-0.016
3,7.693,-0.016
4,2.133,-0.016
5,1.856,-0.017
6,1.418,-0.017
7,1.391,-0.017
8,1.323,-0.016
9,1.332,-0.016
10,1.326,-0.016
11,1.324,0.010
12,1.425,0.664
13,3.087,3.605
14,3.722,4.937
15,5.421,5.569
16,5.613,5.610
17,3.636,4.813
18,1.555,3.098
19,1.038,2.428
20,1.668,0.105
21,1.891,-0.017
22,1.324,-0.016
23,2.973,-0.016
24,6.014,-0.016
25,2.615,-0.016
26,3.068,-0.016
27,3.118,-0.016
28,1.806,-0.016
29,2.022,-0.016
30,1.468,-0.017
31,0.830,-0.017
32,1.372,-0.016
33,1.354,-0.016
34,1.163,-0.016
35,1.496,0.016
36,1.689,0.663
37,1.263,3.447
38,1.218,4.787
39,1.126,5.440
40,4.618,5.488
41,2.353,4.702
42,3.485,2.994
43,3.238,2.254
44,2.527,0.118
45,1.658,-0.017
46,2.196,-0.016
47,1.986,-0.016
48,2.907,-0.016
49,3.750,-0.016
50,4.152,-0.016
51,3.629,-0.016
52,2.058,-0.017
53,2.087,-0.017
54,0.988,-0.017
55,1.754,-0.017
56,0.826,-0.016
57,1.465,-0.016
58,0.927,-0.016
59,1.797,0.015
60,1.172,0.645
61,2.315,3.382
62,1.615,4.682
63,2.474,5.267
64,2.994,5.335
65,4.855,4.547
66,3.789,2.877
67,2.384,2.163
68,4.721,0.138
69,5.887,-0.017
70,5.330,-0.016
71,2.693,-0.016
72,1.902,-0.017
73,1.357,-0.016
74,1.790,-0.017
75,3.233,-0.016
76,2.686,-0.017
77,1.596,-0.017
78,1.251,-0.017
79,1.462,-0.017
80,1.035,-0.017
81,1.228,-0.016
82,0.954,-0.016
83,1.753,0.015
84,1.326,0.344
85,1.835,1.771
86,1.830,4.398
87,2.052,4.864
88,1.985,4.677
89,2.670,2.743
90,4.935,2.076
91,4.069,1.155
92,2.979,0.226
93,4.149,-0.017
94,3.848,-0.016
95,6.134,-0.016
96,5.880,-0.016
97,2.989,-0.016
98,2.134,-0.017
99,3.942,-0.016
100,2.748,-0.016
101,2.639,-0.017
102,1.148,-0.017
103,0.908,-0.017
104,1.476,-0.017
105,1.023,-0.017
106,0.883,-0.017
107,2.243,0.037
108,4.853,0.687
109,5.843,3.198
110,4.405,4.594
111,1.773,4.893
112,1.134,3.872
113,1.491,3.842
114,1.028,2.508
115,1.057,2.013
116,1.571,0.330
117,2.316,-0.017
118,2.444,-0.016
119,3.720,-0.016
120,4.080,-0.016
121,2.833,-0.016
122,1.307,-0.017
123,2.944,-0.016
124,2.092,-0.017
125,2.468,-0.017
126,1.133,-0.017
127,1.595,-0.017
128,1.258,-0.017
129,1.140,-0.017
130,1.281,-0.016
131,1.820,0.013
132,4.532,0.615
133,1.261,3.362
134,1.620,4.664
135,2.342,5.295
136,1.943,5.331
137,2.215,4.609
138,3.545,2.969
139,2.362,2.245
140,2.939,0.136
141,2.473,-0.017
142,4.504,-0.016
143,2.715,-0.016
144,3.969,-0.016
145,3.387,-0.016
146,2.709,-0.016
147,3.564,-0.016
148,1.557,-0.017
149,2.269,-0.017
150,1.412,-0.017
151,1.489,-0.017
152,0.954,-0.016
153,1.128,-0.016
154,1.819,-0.016
155,1.113,0.017
156,1.737,0.615
157,1.631,3.438
158,5.482,4.692
159,5.458,5.343
160,3.752,5.340
161,5.061,4.709
162,2.290,2.849
163,2.383,2.310
164,1.283,0.114
165,1.746,-0.018
166,1.303,-0.016
167,3.113,-0.016
168,2.863,-0.016
169,2.870,-0.016
170,1.744,-0.016
171,4.169,-0.016
172,2.678,-0.017
173,3.581,-0.016
174,4.918,-0.016
175,1.701,-0.017
176,1.361,-0.017
177,1.455,-0.016
178,1.021,-0.016
179,1.915,0.070
180,1.070,1.013
181,1.432,2.949
182,1.208,3.813
183,3.278,2.108
184,5.293,1.546
185,3.841,1.317
186,2.941,0.794
187,3.596,1.257
188,2.756,0.244
189,3.437,-0.017
190,2.750,-0.016
191,2.343,-0.016
192,2.024,-0.016
193,3.783,-0.016
194,2.195,-0.016
195,3.909,-0.016
196,2.140,-0.017
197,1.664,-0.017
198,1.547,-0.016
199,1.154,-0.017
200,1.539,-0.016
201,1.222,-0.016
202,1.540,-0.016
203,1.385,0.027
204,1.871,0.557
205,1.273,1.274
206,2.801,1.977
207,5.472,1.606
208,4.105,4.404
209,1.666,4.608
210,1.518,2.305
211,2.579,1.225
212,1.642,0.097
213,1.699,-0.017
214,3.236,-0.016
215,1.680,-0.016
216,1.995,-0.016
217,2.590,-0.016
218,4.253,-0.016
219,3.043,-0.016
220,3.749,-0.016
221,5.423,-0.016
222,3.059,-0.016
223,2.515,-0.016
224,1.460,-0.017
225,1.345,-0.017
226,0.939,-0.016
227,1.827,0.017
228,1.253,0.223
229,1.512,0.675
230,2.222,1.634
231,1.550,3.179
232,1.707,5.476
233,2.590,3.404
234,1.211,3.029
235,1.684,1.726
236,1.175,0.212
237,4.167,-0.017
238,5.974,-0.016
239,4.057,-0.016
240,5.206,-0.016
241,2.701,-0.016
242,1.429,-0.017
243,4.300,-0.016
244,2.326,-0.017
245,1.048,-0.017
246,1.238,-0.017
247,1.697,-0.017
248,0.879,-0.017
249,1.436,-0.017
250,0.942,-0.016
251,2.018,0.022
252,1.177,0.396
253,1.441,0.623
254,1.630,1.115
255,1.925,1.503
256,2.118,1.671
257,2.275,3.773
258,1.334,2.735
259,3.821,2.178
260,3.670,0.306
261,1.654,-0.016
262,1.171,-0.017
263,2.066,-0.016
264,1.461,-0.017
265,1.741,-0.016
266,1.703,-0.017
267,3.636,-0.016
268,2.957,-0.016
269,1.368,-0.017
270,1.037,-0.017
271,1.671,-0.017
272,1.115,-0.017
273,1.164,-0.016
