time,demand,supply
302,0.962,0.438
303,1.042,0.480
304,0.789,0.411
305,0.777,0.453
306,1.035,0.283
307,1.723,0.069
308,1.588,-0.001
309,1.648,-0.004
310,1.626,-0.005
311,0.996,-0.003
312,0.998,-0.002
313,0.599,-0.003
314,0.708,-0.003
315,0.672,-0.003
316,0.656,-0.003
317,0.631,-0.003
318,0.669,-0.003
319,0.837,-0.003
320,0.689,-0.003
321,0.840,-0.003
322,0.874,0.013
323,0.706,0.093
324,0.811,0.238
325,0.817,0.379
326,0.650,0.332
327,0.823,0.244
328,1.865,0.232
329,1.275,0.136
330,1.179,0.035
331,1.088,-0.003
332,1.002,-0.002
333,0.924,-0.002
334,1.256,-0.003
335,1.203,-0.003
336,0.941,-0.003
337,0.608,-0.003
338,0.642,-0.003
339,0.623,-0.003
340,0.634,-0.003
341,0.657,-0.003
342,0.645,-0.003
343,0.623,-0.003
344,0.624,-0.003
345,0.705,-0.001
346,0.808,0.128
347,0.666,1.259
348,0.661,2.629
349,0.653,3.384
350,0.528,3.921
351,1.869,4.114
352,0.897,3.871
353,0.479,1.744
354,0.712,0.491
355,1.122,0.124
356,1.300,-0.004
357,1.116,-0.004
358,1.167,-0.004
359,0.895,-0.004
360,0.624,-0.003
361,0.599,-0.004
362,0.579,-0.003
363,0.653,-0.003
364,0.602,-0.003
365,0.406,-0.003
366,0.385,-0.004
367,0.546,-0.003
368,0.555,-0.003
369,0.659,0.039
370,0.738,0.502
371,0.586,1.359
372,0.395,1.855
373,0.394,3.184
374,0.406,3.462
375,0.561,3.694
376,0.751,3.037
377,0.663,1.763
378,0.718,0.287
379,0.899,0.069
380,0.836,-0.003
381,0.743,-0.003
382,0.975,-0.004
383,0.947,-0.004
384,0.529,-0.004
385,0.399,-0.003
386,0.597,-0.003
387,0.411,-0.003
388,0.572,-0.003
389,0.561,-0.003
390,0.494,-0.004
391,0.764,-0.003
392,0.556,-0.003
393,0.696,0.058
394,0.607,0.371
395,0.575,0.884
396,0.568,1.935
397,0.404,3.434
398,0.409,3.101
399,0.669,2.167
400,1.113,1.109
401,1.022,0.816
402,0.697,0.600
403,1.163,0.084
404,1.642,-0.005
405,1.159,-0.003
406,1.050,-0.003
407,1.009,-0.003
