time,demand,supply
1,2.175,-0.051
2,1.910,-0.052
3,1.756,-0.051
4,1.705,-0.051
5,1.722,-0.051
6,1.780,-0.051
7,1.999,-0.051
8,2.386,-0.050
9,2.495,-0.051
10,2.516,0.035
11,2.501,6.546
12,2.327,8.938
13,1.896,9.568
14,2.069,7.923
15,1.910,6.819
16,1.900,7.193
17,1.777,1.445
18,1.871,0.631
19,2.150,-0.038
20,5.604,-0.050
21,9.359,-0.049
22,9.474,-0.049
23,2.794,-0.050
24,2.598,-0.050
25,1.886,-0.051
26,1.651,-0.051
27,1.664,-0.050
28,1.620,-0.050
29,1.683,-0.049
30,1.536,-0.050
31,2.062,-0.049
32,2.390,-0.049
33,2.404,-0.050
34,2.332,0.134
35,2.244,3.627
36,2.035,3.845
37,3.190,3.820
38,2.197,10.021
39,2.382,10.091
40,2.172,9.908
41,8.129,9.055
42,9.273,7.481
43,5.077,2.166
44,2.556,-0.049
45,2.425,-0.049
46,2.449,-0.049
47,2.366,-0.049
48,2.461,-0.051
49,1.838,-0.052
50,8.649,-0.050
51,8.571,-0.050
52,8.643,-0.050
53,8.660,-0.050
54,8.694,-0.050
55,7.437,-0.049
56,2.275,-0.049
57,2.548,-0.050
58,2.362,0.318
59,2.233,0.719
60,2.141,1.516
61,2.269,1.291
62,2.299,1.725
63,2.381,1.952
64,2.168,1.446
65,2.280,1.606
66,1.980,0.434
67,2.405,-0.004
68,2.720,-0.051
69,2.840,-0.051
70,2.668,-0.051
71,2.730,-0.051
72,2.672,-0.052
73,1.997,-0.053
74,1.861,-0.052
75,1.581,-0.051
76,1.723,-0.050
77,1.571,-0.050
78,1.853,-0.050
79,1.965,-0.051
80,2.417,-0.049
81,2.760,-0.050
82,2.730,-0.049
83,2.488,1.003
84,4.313,3.195
85,4.092,2.338
86,3.704,1.288
87,2.516,2.134
88,2.253,9.493
89,2.556,3.227
90,2.588,0.891
91,3.580,-0.014
92,3.411,-0.049
93,2.536,-0.050
94,2.617,-0.051
95,2.579,-0.050
96,2.610,-0.051
97,2.003,-0.052
98,1.846,-0.052
99,1.630,-0.051
100,1.671,-0.050
101,1.818,-0.050
102,1.879,-0.050
103,2.031,-0.051
104,2.226,-0.050
105,2.640,-0.050
106,2.299,-0.046
107,3.543,0.693
108,6.844,1.565
109,2.187,2.189
110,2.511,2.240
111,3.526,1.994
112,2.554,2.074
113,3.052,1.601
114,2.437,1.471
115,2.730,0.788
116,2.920,-0.050
117,2.366,-0.050
118,2.815,-0.050
119,2.733,-0.050
120,9.914,-0.050
121,8.571,-0.050
122,2.380,-0.050
123,1.491,-0.050
124,1.674,-0.049
125,1.713,-0.050
126,1.666,-0.049
127,1.577,-0.049
128,1.865,-0.048
129,2.079,-0.048
130,2.343,0.136
131,2.535,5.724
132,2.377,7.918
133,2.081,7.780
134,2.269,8.454
135,1.747,6.807
136,1.769,3.896
137,1.977,1.648
138,3.099,0.586
139,2.725,1.140
140,2.600,-0.056
141,2.462,-0.048
142,2.370,-0.048
143,3.553,-0.048
144,2.889,-0.049
145,1.897,-0.049
146,1.760,-0.050
147,1.631,-0.050
148,1.671,-0.051
149,1.731,-0.050
150,1.718,-0.051
151,1.845,-0.050
152,2.174,-0.050
153,2.408,-0.050
154,2.159,-0.060
155,5.737,0.015
156,3.816,0.380
157,2.005,1.312
158,2.186,2.219
159,2.589,3.056
160,2.527,6.127
161,2.970,2.786
162,2.276,4.048
163,2.329,1.945
164,2.603,-0.059
165,2.539,-0.049
166,2.640,-0.049
167,2.739,-0.049
168,2.667,-0.051
169,2.137,-0.052
170,1.853,-0.052
171,1.846,-0.050
172,1.720,-0.050
173,2.658,-0.049
174,2.584,-0.049
175,3.618,-0.048
176,2.197,-0.048
177,2.785,-0.048
178,4.125,0.029
179,5.671,6.320
180,5.520,8.638
181,3.593,8.903
182,3.413,9.063
183,3.242,9.180
184,2.779,9.094
185,2.390,8.634
186,2.534,7.357
187,5.948,2.599
188,10.164,-0.047
189,4.205,-0.048
190,2.421,-0.048
191,2.507,-0.048
192,2.443,-0.050
193,1.984,-0.051
194,1.829,-0.050
195,1.747,-0.051
196,1.744,-0.051
197,1.844,-0.051
198,1.674,-0.051
199,2.115,-0.050
200,2.245,-0.050
201,2.593,-0.050
202,2.269,-0.046
203,2.391,0.554
204,2.076,1.744
205,2.637,1.377
206,9.357,1.430
207,5.790,1.158
208,2.422,0.891
209,1.279,0.118
210,2.199,0.216
211,2.116,-0.074
212,2.948,-0.051
213,2.689,-0.052
214,2.738,-0.052
215,2.597,-0.052
216,2.598,-0.052
217,1.974,-0.053
218,1.896,-0.052
219,1.769,-0.052
220,1.791,-0.052
221,1.882,-0.051
222,1.817,-0.050
223,2.034,-0.051
224,2.167,-0.051
225,2.469,-0.051
226,2.258,-0.090
227,2.532,0.128
228,2.570,0.931
229,2.747,1.904
230,2.995,5.383
231,2.649,7.109
232,2.239,8.367
233,2.066,7.968
234,2.288,6.993
235,6.852,2.072
236,5.799,-0.051
237,3.228,-0.047
238,3.110,-0.046
239,2.923,-0.047
240,3.064,-0.048
241,2.011,-0.051
242,1.957,-0.049
243,1.809,-0.048
244,1.804,-0.048
245,1.698,-0.048
246,1.798,-0.048
247,1.875,-0.048
248,2.366,-0.048
249,2.546,-0.049
250,3.181,-0.117
251,3.723,-0.041
252,3.292,0.030
253,4.055,0.348
254,2.365,1.324
255,3.461,2.153
256,4.121,0.942
