time,demand,supply
1,6.177,-0.004
2,6.348,-0.004
3,3.350,-0.004
4,3.685,-0.004
5,3.885,-0.004
6,2.332,-0.004
7,3.331,-0.004
8,3.717,-0.004
9,2.783,-0.004
10,3.615,-0.001
11,3.704,0.392
12,3.462,0.719
13,5.197,1.374
14,5.834,1.271
15,4.436,1.324
16,7.571,0.671
17,4.505,0.305
18,5.586,0.123
19,5.368,0.002
20,6.242,-0.004
21,3.959,-0.004
22,3.332,-0.004
23,2.936,-0.004
24,3.968,-0.004
25,3.535,-0.004
26,2.567,-0.004
27,2.208,-0.004
28,1.349,-0.004
29,2.378,-0.004
30,2.478,-0.004
31,1.372,-0.004
32,2.736,-0.004
33,2.274,-0.004
34,2.826,0.010
35,3.293,0.308
36,4.067,0.484
37,6.152,1.160
38,4.495,2.650
39,2.565,3.285
40,2.627,3.346
41,3.320,2.643
42,2.832,0.954
43,2.820,0.167
44,2.284,-0.004
45,2.413,-0.004
46,1.555,-0.004
47,2.627,-0.004
48,2.528,-0.004
49,1.818,-0.004
50,2.495,-0.004
51,1.278,-0.004
52,2.552,-0.004
53,2.218,-0.004
54,1.629,-0.004
55,2.239,-0.004
56,2.930,-0.004
57,2.095,-0.004
58,2.720,0.181
59,1.311,0.297
60,2.744,0.821
61,1.692,0.722
62,2.588,1.240
63,1.268,1.096
64,2.197,0.793
65,1.628,0.216
66,2.169,0.041
67,2.632,-0.007
68,1.650,-0.004
69,2.631,-0.004
70,2.180,-0.004
71,2.419,-0.004
72,2.752,-0.004
73,2.116,-0.004
74,2.609,-0.004
75,2.244,-0.004
76,1.947,-0.004
77,2.564,-0.004
78,2.518,-0.004
79,2.570,-0.004
80,2.229,-0.004
81,3.061,-0.004
82,2.780,0.001
83,2.066,0.102
84,3.450,0.599
85,3.222,0.568
86,2.467,0.546
87,3.730,2.364
88,2.151,3.899
89,1.921,2.041
90,2.304,0.379
91,3.326,0.029
92,2.960,-0.004
93,2.220,-0.004
94,3.087,-0.004
95,3.153,-0.004
96,2.805,-0.004
97,2.757,-0.004
