time,demand,supply
1,0.686,-0.004
2,0.687,-0.004
3,0.731,-0.004
4,0.737,-0.004
5,0.764,-0.003
6,0.756,-0.004
7,0.744,-0.004
8,0.801,-0.003
9,0.768,-0.003
10,1.160,-0.003
11,1.055,0.017
12,1.095,0.033
13,1.198,0.032
14,1.313,0.062
15,1.212,0.075
16,1.165,0.040
17,1.143,0.002
18,1.405,-0.003
19,1.965,-0.004
20,2.429,-0.005
21,1.294,-0.004
22,1.198,-0.004
23,0.943,-0.004
24,0.946,-0.004
25,0.867,-0.004
26,0.692,-0.004
27,0.799,-0.004
28,0.764,-0.004
29,0.737,-0.004
30,0.813,-0.004
31,0.736,-0.004
32,0.803,-0.004
33,0.749,-0.003
34,1.067,-0.002
35,1.209,0.012
36,0.905,0.018
37,1.025,0.023
38,0.955,0.034
39,0.926,0.025
40,1.069,0.029
41,0.806,0.007
42,0.855,-0.003
43,1.148,-0.003
44,1.234,-0.004
45,1.179,-0.003
46,1.206,-0.004
47,1.106,-0.004
48,0.960,-0.004
49,0.812,-0.004
50,0.715,-0.004
51,0.645,-0.004
52,0.718,-0.004
53,0.696,-0.004
54,0.664,-0.004
55,0.698,-0.004
56,0.606,-0.003
57,0.579,-0.003
58,0.855,0.038
59,0.738,0.114
60,0.678,0.373
61,0.628,0.673
62,0.590,1.207
63,0.623,1.139
64,0.634,0.713
65,0.947,0.163
66,0.929,0.022
67,0.710,-0.003
68,0.695,-0.004
69,0.694,-0.004
70,0.762,-0.004
71,0.834,-0.004
72,0.619,-0.004
73,0.507,-0.004
74,0.391,-0.004
75,0.502,-0.004
76,0.397,-0.004
77,0.487,-0.004
78,0.387,-0.004
79,0.496,-0.004
80,0.364,-0.004
81,0.440,-0.003
82,0.582,0.023
83,0.531,0.081
84,0.899,0.351
85,0.652,1.241
86,0.657,1.315
87,0.578,1.168
88,0.568,0.760
89,0.689,0.192
90,0.673,0.027
91,0.574,-0.002
92,0.834,-0.004
93,1.112,-0.003
94,0.787,-0.004
95,0.502,-0.003
96,0.483,-0.004
97,0.503,-0.004
98,0.506,-0.004
99,0.516,-0.004
100,0.509,-0.004
101,0.520,-0.004
102,0.492,-0.004
103,0.702,-0.003
104,0.748,-0.003
105,0.553,-0.003
106,0.516,0.041
107,0.429,0.099
108,0.424,0.356
109,0.338,1.189
110,0.415,1.241
111,0.377,1.204
112,0.355,0.704
113,0.535,0.231
114,0.414,0.044
115,0.608,-0.000
116,0.645,-0.003
117,0.671,-0.004
118,0.743,-0.004
119,0.716,-0.004
120,0.704,-0.004
121,0.509,-0.004
122,0.454,-0.004
123,0.442,-0.004
124,0.425,-0.004
125,0.482,-0.004
126,0.416,-0.004
127,0.413,-0.004
128,0.551,-0.003
129,0.703,-0.003
130,0.417,0.039
131,0.251,0.124
132,0.304,0.371
133,0.292,1.165
134,0.224,1.212
135,0.311,1.116
136,0.249,0.678
137,0.230,0.179
138,0.236,0.031
139,0.262,-0.002
140,0.416,-0.004
141,0.621,-0.004
142,0.671,-0.004
143,0.654,-0.004
144,0.770,-0.004
145,0.376,-0.004
146,0.472,-0.004
147,0.414,-0.004
148,0.428,-0.004
149,0.484,-0.004
150,0.444,-0.004
151,0.551,-0.003
152,0.753,-0.003
153,0.711,-0.003
154,0.429,0.029
155,0.318,0.101
156,0.309,0.307
157,0.309,1.143
158,0.286,1.280
159,0.612,1.217
160,1.496,0.779
161,0.547,0.248
162,0.340,0.031
163,0.566,-0.002
164,0.812,-0.003
165,0.866,-0.003
166,0.845,-0.003
167,0.722,-0.003
168,0.459,-0.004
169,0.500,-0.004
170,0.540,-0.004
171,0.568,-0.004
172,0.552,-0.004
173,0.471,-0.004
174,0.451,-0.004
175,0.711,-0.004
176,0.835,-0.004
177,0.447,-0.003
178,0.261,0.021
179,0.279,0.085
180,0.232,0.397
181,0.236,1.209
182,0.246,1.295
183,0.226,1.203
184,0.232,0.724
185,0.623,0.264
186,0.327,0.043
187,0.441,-0.001
188,0.746,-0.004
189,0.592,-0.003
190,0.677,-0.004
191,0.719,-0.004
192,0.390,-0.004
193,0.318,-0.004
194,0.293,-0.004
195,0.333,-0.004
196,0.280,-0.004
197,0.309,-0.004
198,0.493,-0.004
199,0.577,-0.004
200,0.670,-0.004
201,1.008,-0.004
202,1.133,0.014
203,0.928,0.109
204,0.739,0.240
205,1.002,0.319
206,0.902,0.282
207,0.475,0.201
208,0.351,0.091
209,0.421,0.077
210,0.506,0.021
211,0.672,-0.004
212,0.627,-0.004
213,0.569,-0.004
214,0.567,-0.004
215,0.647,-0.004
