time,demand,supply
1,4.304,-0.010
2,4.328,-0.010
3,4.233,-0.009
4,4.190,-0.010
5,4.106,-0.009
6,4.049,-0.010
7,3.943,-0.010
8,3.927,-0.010
9,3.963,-0.009
10,4.039,-0.009
11,4.027,-0.009
12,3.783,-0.009
13,3.498,0.361
14,3.328,3.739
15,3.955,9.286
16,4.351,14.987
17,4.686,19.521
18,5.185,25.029
19,5.067,16.423
20,5.048,10.273
21,4.983,14.329
22,5.269,11.160
23,4.600,2.146
24,4.438,-0.010
25,4.456,-0.010
26,4.401,-0.010
27,4.014,-0.010
28,4.051,-0.010
29,4.016,-0.010
30,4.022,-0.010
31,3.948,-0.009
32,3.886,-0.009
33,3.904,-0.009
34,4.056,-0.009
35,3.894,-0.009
36,3.886,-0.009
37,3.429,0.861
38,3.415,4.824
39,4.053,9.094
40,4.737,9.896
41,4.543,8.388
42,5.074,17.167
43,5.456,16.327
44,6.090,10.848
45,5.284,5.388
46,5.283,2.659
47,5.706,0.812
48,8.591,-0.011
49,8.967,-0.011
50,7.161,-0.010
51,6.530,-0.011
52,4.437,-0.010
53,3.991,-0.010
54,3.846,-0.010
55,3.904,-0.010
56,3.694,-0.010
57,3.769,-0.009
58,3.942,-0.009
59,3.706,-0.009
60,4.201,-0.010
61,3.392,0.282
62,3.320,2.722
63,4.163,9.168
64,4.081,12.333
65,4.272,20.132
66,4.536,18.773
67,4.220,20.869
68,3.845,12.475
69,3.850,14.098
70,3.602,10.522
71,4.150,2.266
72,4.551,-0.011
73,3.839,-0.010
74,3.997,-0.010
75,3.826,-0.010
76,3.842,-0.010
77,3.859,-0.010
78,3.787,-0.010
79,3.705,-0.010
80,3.690,-0.010
81,3.669,-0.010
82,3.847,-0.009
83,3.629,-0.009
84,3.677,-0.009
85,3.593,0.674
86,8.699,3.651
87,9.771,9.473
88,9.391,10.608
89,5.672,15.142
90,4.358,22.684
91,7.228,25.246
92,8.069,18.730
93,7.161,6.744
94,6.618,3.740
95,5.855,1.798
96,4.979,-0.011
97,4.015,-0.010
98,3.999,-0.010
99,3.734,-0.010
100,3.870,-0.010
101,3.789,-0.010
102,3.849,-0.010
103,3.611,-0.010
104,3.712,-0.010
105,3.601,-0.010
106,3.859,-0.010
107,3.693,-0.010
108,5.947,-0.010
109,10.865,0.355
110,9.046,3.052
111,11.627,9.375
112,9.784,15.510
113,9.095,20.295
114,8.526,23.386
115,7.359,21.653
116,7.767,18.818
117,8.903,16.382
118,7.613,10.367
119,6.769,1.805
120,8.256,-0.011
121,8.207,-0.011
122,8.185,-0.010
123,5.653,-0.010
124,4.665,-0.010
125,4.116,-0.010
126,3.983,-0.010
127,3.839,-0.009
128,3.979,-0.009
129,3.873,-0.009
130,4.086,-0.009
131,3.974,-0.009
132,6.882,-0.009
133,8.758,0.369
134,9.156,2.743
135,9.989,9.340
136,11.341,15.722
137,9.638,20.345
138,10.518,22.850
139,8.568,23.518
140,8.283,21.950
141,9.217,17.999
142,7.654,11.281
143,5.909,2.443
144,8.726,-0.010
145,9.596,-0.011
146,8.572,-0.011
147,4.449,-0.010
148,4.304,-0.010
149,3.976,-0.009
150,4.091,-0.009
151,4.052,-0.009
152,3.942,-0.009
153,3.910,-0.009
154,4.035,-0.009
155,3.989,-0.009
156,5.544,-0.009
157,8.250,0.471
158,8.297,3.118
159,13.060,9.513
160,13.111,15.667
161,9.656,20.455
162,11.707,22.724
163,9.402,23.570
164,9.209,22.269
165,9.361,18.352
166,7.826,11.523
167,7.507,2.503
168,8.047,-0.011
169,8.395,-0.011
170,9.508,-0.010
171,7.741,-0.011
172,4.752,-0.010
173,3.947,-0.010
174,3.976,-0.010
175,3.918,-0.010
